Strategy Variant,Symbol,Entry Date,Recommendation,Signal Pattern,Entry Close,21 EMA,50 DMA,200 DMA,RSI(14),Volume,Average Volume(20),Relative Volume (RVOL),Distance from 52-week High (%),Distance from 21 EMA (%),Avg Traded Value,Day 1 Close,Day 2 Close,Day 3 Close,Day 4 Close,Day 5 Close,Day 6 Close,Day 7 Close,Day 8 Close,Day 9 Close,Day 10 Close,Day 11 Close,Day 12 Close,Day 13 Close,Day 14 Close,Day 15 Close,Day 16 Close,Day 17 Close,Day 18 Close,Day 19 Close,Day 20 Close,Day 21 Close,Day 22 Close,Day 23 Close,Day 24 Close,Day 25 Close,Day 26 Close,Day 27 Close,Day 28 Close,Day 29 Close,Day 30 Close,Max Favorable Move 30D (%),Max Drawdown 30D (%),30D Close Return (%),Target Hit,Stop Hit,Exit Reason,Exit Date,Exit Return (%),Days Held
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,TATACHEM,2020-01-10,BUY,Volume Dry-Up Breakout,304.08685302734375,293.8862900083183,289.12544616699216,269.24527687072754,64.81160322092963,3533748.0,2069840.45,1.7072562283725783,4.314653007644789,3.470921701974155,629411268.709201,310.6782531738281,320.35595703125,321.8550109863281,325.3381042480469,329.50457763671875,329.0416259765625,330.4304504394531,329.9454650878906,334.3985290527344,333.0538024902344,330.5186462402344,330.21002197265625,334.0017395019531,334.1560363769531,331.2020263671875,326.9473876953125,324.43426513671875,330.8713684082031,332.0617980957031,336.7573547363281,335.7212219238281,334.31036376953125,333.60491943359375,335.41259765625,338.0138854980469,331.8633728027344,330.4966125488281,337.17620849609375,336.6911926269531,330.58477783203125,13.063653729236663,0.34072577772006074,8.71393305593017,True,False,Target,2020-01-14,5.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,APOLLOHOSP,2020-01-15,BUY,Volume Dry-Up Breakout,1511.949951171875,1456.4270598850135,1429.6439916992188,1364.9184985351562,64.69664509228016,932167.0,619302.3,1.5051889844426543,4.288789143137008,3.81226721311022,936354082.2456299,1591.550048828125,1618.5999755859375,1629.550048828125,1626.199951171875,1634.449951171875,1686.9000244140625,1668.699951171875,1696.050048828125,1677.75,1688.0,1690.800048828125,1660.199951171875,1695.8499755859375,1671.050048828125,1657.449951171875,1645.050048828125,1663.1500244140625,1665.699951171875,1697.949951171875,1683.5999755859375,1695.5,1704.4000244140625,1715.050048828125,1774.9000244140625,1780.5,1800.699951171875,1797.449951171875,1790.449951171875,1767.199951171875,1795.4000244140625,19.947756698063134,0.40345896711210355,18.74731852218338,True,False,Target,2020-01-16,5.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,TORNTPHARM,2020-01-16,BUY,Volume Dry-Up Breakout,962.2000122070312,937.7381587751881,921.5494970703126,855.8393731689453,63.1755183911371,1110982.0,339279.6,3.2745322736763427,2.212959060868361,2.6086016872549553,326454835.2615967,1003.1749877929688,1013.8499755859375,1010.0750122070312,1000.4749755859375,1010.25,1018.4749755859375,1013.5750122070312,958.2000122070312,968.75,968.1500244140625,965.5499877929688,953.0499877929688,964.375,1000.625,1000.7000122070312,1010.4000244140625,1004.5999755859375,1006.875,1005.2000122070312,1040.0999755859375,1056.25,1071.675048828125,1065.949951171875,1121.074951171875,1119.4749755859375,1085.4749755859375,1104.4749755859375,1125.550048828125,1084.4749755859375,1075.1500244140625,18.85522609554203,-1.9018902058620266,11.73872487778855,True,False,Target,2020-01-17,5.0,30
EMA21_BOUNCE_BROAD,AAVAS,2020-01-17,BUY,21 EMA Bounce,1993.9000244140625,1949.3122022975988,1828.7429956054686,1544.329747314453,59.761814179646436,117896.0,61830.9,1.906748890926705,5.097571422462518,2.2873617711882845,123284633.01954345,2006.5,1957.6500244140625,1944.5999755859375,1999.8499755859375,1945.1500244140625,1919.4000244140625,1944.5999755859375,1978.699951171875,1955.8499755859375,1994.050048828125,1988.800048828125,1970.5999755859375,1950.8499755859375,1954.1500244140625,1843.699951171875,1815.5999755859375,1884.199951171875,1894.550048828125,1870.449951171875,1890.25,1900.050048828125,1934.9000244140625,1961.199951171875,1965.8499755859375,1934.550048828125,1913.800048828125,1903.75,1902.9000244140625,1878.8499755859375,1858.4000244140625,2.6631212666513573,-9.772304187778778,-6.795726884040673,False,True,Stop,2020-01-24,-4.0,30
BE_VOLUME_HC_BALANCED,PERSISTENT,2020-01-21,BUY,Bullish Engulfing,357.04998779296875,345.6522341806203,339.3905010986328,307.2259996032715,64.37809455188778,398718.0,163021.8,2.445795592982043,2.017015978766331,3.297462734290482,58206931.69998779,363.07501220703125,369.375,364.875,360.82501220703125,361.25,350.45001220703125,344.57501220703125,350.4750061035156,354.29998779296875,358.4750061035156,357.1000061035156,352.75,354.8500061035156,350.54998779296875,349.95001220703125,350.04998779296875,350.57501220703125,350.625,350.54998779296875,353.29998779296875,359.29998779296875,358.57501220703125,360.7250061035156,356.75,358.79998779296875,356.54998779296875,348.20001220703125,349.375,354.0,352.3500061035156,3.62694654803914,-6.03556603549424,-1.3163371657019505,False,True,Stop,2020-01-30,-4.0,30
BE_VOLUME_HC_COOL_RVOL,PERSISTENT,2020-01-21,BUY,Bullish Engulfing,357.04998779296875,345.6522341806203,339.3905010986328,307.2259996032715,64.37809455188778,398718.0,163021.8,2.445795592982043,2.017015978766331,3.297462734290482,58206931.69998779,363.07501220703125,369.375,364.875,360.82501220703125,361.25,350.45001220703125,344.57501220703125,350.4750061035156,354.29998779296875,358.4750061035156,357.1000061035156,352.75,354.8500061035156,350.54998779296875,349.95001220703125,350.04998779296875,350.57501220703125,350.625,350.54998779296875,353.29998779296875,359.29998779296875,358.57501220703125,360.7250061035156,356.75,358.79998779296875,356.54998779296875,348.20001220703125,349.375,354.0,352.3500061035156,3.62694654803914,-6.03556603549424,-1.3163371657019505,False,True,Stop,2020-01-30,-4.0,30
BE_VOLUME_HC_EARLY_SURGE,PERSISTENT,2020-01-21,BUY,Bullish Engulfing,357.04998779296875,345.6522341806203,339.3905010986328,307.2259996032715,64.37809455188778,398718.0,163021.8,2.445795592982043,2.017015978766331,3.297462734290482,58206931.69998779,363.07501220703125,369.375,364.875,360.82501220703125,361.25,350.45001220703125,344.57501220703125,350.4750061035156,354.29998779296875,358.4750061035156,357.1000061035156,352.75,354.8500061035156,350.54998779296875,349.95001220703125,350.04998779296875,350.57501220703125,350.625,350.54998779296875,353.29998779296875,359.29998779296875,358.57501220703125,360.7250061035156,356.75,358.79998779296875,356.54998779296875,348.20001220703125,349.375,354.0,352.3500061035156,3.62694654803914,-6.03556603549424,-1.3163371657019505,False,True,Stop,2020-01-30,-4.0,30
BE_VOLUME_HC_MID_52W,PERSISTENT,2020-01-21,BUY,Bullish Engulfing,357.04998779296875,345.6522341806203,339.3905010986328,307.2259996032715,64.37809455188778,398718.0,163021.8,2.445795592982043,2.017015978766331,3.297462734290482,58206931.69998779,363.07501220703125,369.375,364.875,360.82501220703125,361.25,350.45001220703125,344.57501220703125,350.4750061035156,354.29998779296875,358.4750061035156,357.1000061035156,352.75,354.8500061035156,350.54998779296875,349.95001220703125,350.04998779296875,350.57501220703125,350.625,350.54998779296875,353.29998779296875,359.29998779296875,358.57501220703125,360.7250061035156,356.75,358.79998779296875,356.54998779296875,348.20001220703125,349.375,354.0,352.3500061035156,3.62694654803914,-6.03556603549424,-1.3163371657019505,False,True,Stop,2020-01-30,-4.0,30
BE_VOLUME_REVERSAL_HIGH_CONFIDENCE,PERSISTENT,2020-01-21,BUY,Bullish Engulfing,357.04998779296875,345.6522341806203,339.3905010986328,307.2259996032715,64.37809455188778,398718.0,163021.8,2.445795592982043,2.017015978766331,3.297462734290482,58206931.69998779,363.07501220703125,369.375,364.875,360.82501220703125,361.25,350.45001220703125,344.57501220703125,350.4750061035156,354.29998779296875,358.4750061035156,357.1000061035156,352.75,354.8500061035156,350.54998779296875,349.95001220703125,350.04998779296875,350.57501220703125,350.625,350.54998779296875,353.29998779296875,359.29998779296875,358.57501220703125,360.7250061035156,356.75,358.79998779296875,356.54998779296875,348.20001220703125,349.375,354.0,352.3500061035156,3.62694654803914,-6.03556603549424,-1.3163371657019505,False,True,Stop,2020-01-30,-4.0,30
BE_VOLUME_REVERSAL_HIGH_CONFIDENCE,DEEPAKNTR,2020-01-23,BUY,Bullish Engulfing,402.04998779296875,383.28893836757516,363.7290008544922,310.2079997253418,66.10773873709388,661750.0,341344.75,1.9386558603874822,1.0216701844773266,4.894753682508232,137237652.57069397,399.5,399.8500061035156,400.8500061035156,399.25,393.8500061035156,383.6000061035156,409.3999938964844,404.5,408.29998779296875,397.20001220703125,404.70001220703125,410.54998779296875,413.29998779296875,426.70001220703125,427.6000061035156,459.8500061035156,454.29998779296875,482.70001220703125,483.5,483.8999938964844,467.75,506.3500061035156,501.45001220703125,494.29998779296875,461.8999938964844,505.1000061035156,532.9500122070312,521.7999877929688,519.8499755859375,519.0,34.933470083663934,-6.728016071200043,29.08842575745914,True,True,Stop,2020-01-31,-4.0,30
EMA21_BOUNCE_BROAD,BHARATFORG,2020-01-23,BUY,21 EMA Bounce,515.25,503.2966606929455,477.9379998779297,454.3745001220703,59.54249262215439,1418500.0,1282657.7,1.1059068994011418,6.019151846785226,2.3750086659818015,660889379.925,522.0499877929688,508.95001220703125,499.79998779296875,505.0,499.20001220703125,490.6499938964844,488.45001220703125,502.29998779296875,508.95001220703125,511.29998779296875,518.0,499.29998779296875,491.45001220703125,483.25,482.1000061035156,485.45001220703125,485.3500061035156,480.3999938964844,480.04998779296875,484.5,462.29998779296875,464.8500061035156,458.29998779296875,461.6000061035156,435.3999938964844,450.95001220703125,443.8500061035156,436.6000061035156,439.95001220703125,439.3999938964844,2.464825270651383,-17.962151924884765,-14.721010403399443,False,True,Stop,2020-01-28,-4.0,30
EMA21_BOUNCE_BROAD,CHOLAFIN,2020-01-23,BUY,21 EMA Bounce,323.5,314.32766172823614,311.02699951171877,288.8663004302978,58.72631513712932,4802353.0,1575501.05,3.0481433192316816,3.4039994339349096,2.9180817944346735,509674589.675,323.79998779296875,329.45001220703125,325.79998779296875,327.6499938964844,326.8500061035156,327.54998779296875,324.95001220703125,332.25,342.6499938964844,340.20001220703125,339.95001220703125,335.6000061035156,333.29998779296875,338.8500061035156,337.0,332.75,331.45001220703125,327.8999938964844,329.29998779296875,332.0,323.25,325.3500061035156,318.1000061035156,314.54998779296875,306.5,302.0,306.20001220703125,295.6000061035156,289.54998779296875,280.54998779296875,7.8825347758887165,-17.465224111282843,-13.276665288108576,True,True,Target,2020-02-05,5.0,30
EMA21_BOUNCE_BROAD,GODREJCP,2020-01-23,BUY,21 EMA Bounce,741.0499877929688,724.3016796554242,705.5420007324219,671.0495004272461,58.90877239279414,757948.0,863630.0,0.8776304667508077,7.938384178523071,2.312338712994881,639993000.9576416,749.3499755859375,737.75,736.4000244140625,740.8499755859375,683.5,672.6500244140625,667.2999877929688,654.5499877929688,661.3499755859375,651.9500122070312,646.7999877929688,630.8499755859375,615.7000122070312,642.1500244140625,636.3499755859375,626.0999755859375,625.75,620.75,622.5999755859375,631.0499877929688,614.8499755859375,615.75,601.25,594.7000122070312,560.5,587.1500244140625,618.7000122070312,631.75,650.6500244140625,638.9000244140625,1.7475220862764749,-24.91734247629364,-13.784490258630766,False,True,Stop,2020-01-30,-4.0,30
EMA21_BOUNCE_BROAD,HCLTECH,2020-01-23,BUY,21 EMA Bounce,598.9500122070312,583.8640889871552,570.0010021972656,547.9166252136231,63.9839479814685,6089397.0,3316170.7,1.8362736875999779,3.0825222965968853,2.5838073456523016,1986220481.2455995,607.7000122070312,604.3499755859375,601.4500122070312,608.8499755859375,607.8499755859375,591.4000244140625,579.0999755859375,586.5,595.5999755859375,599.7000122070312,607.7000122070312,604.9000244140625,610.6500244140625,614.0999755859375,612.4500122070312,621.6500244140625,613.4500122070312,607.0499877929688,605.75,608.0499877929688,595.1500244140625,582.4500122070312,583.5999755859375,573.0499877929688,534.3499755859375,549.7000122070312,565.0499877929688,563.0999755859375,576.4000244140625,566.2000122070312,4.098837514420631,-11.311461494149153,-5.467902050677266,False,True,Stop,2020-02-27,-4.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,DEEPAKNTR,2020-01-23,BUY,Volume Dry-Up Breakout,402.04998779296875,383.28893836757516,363.7290008544922,310.2079997253418,66.10773873709388,661750.0,341344.75,1.9386558603874822,1.0216701844773266,4.894753682508232,137237652.57069397,399.5,399.8500061035156,400.8500061035156,399.25,393.8500061035156,383.6000061035156,409.3999938964844,404.5,408.29998779296875,397.20001220703125,404.70001220703125,410.54998779296875,413.29998779296875,426.70001220703125,427.6000061035156,459.8500061035156,454.29998779296875,482.70001220703125,483.5,483.8999938964844,467.75,506.3500061035156,501.45001220703125,494.29998779296875,461.8999938964844,505.1000061035156,532.9500122070312,521.7999877929688,519.8499755859375,519.0,34.933470083663934,-6.728016071200043,29.08842575745914,True,True,Stop,2020-01-31,-4.0,30
