Strategy Name,Symbol,Triggered Date,Recommendation,Close Price,21 EMA,50 DMA,200 DMA,RSI(14),Today's Volume,Average Volume(20),Relative Volume (RVOL),Distance from 52-week High (%),Distance from 21 EMA (%),Bullish Pattern Detected,Signal Score,Avg Traded Value,Latest Date,Latest Close,Trading Days Held,Return to Latest Close (%),Max Favorable Move (%),Max Drawdown (%),1D Close,1D Return (%),5D Close,5D Return (%),21D Close,21D Return (%),63D Close,63D Return (%),Day 1 Close,Day 2 Close,Day 3 Close,Day 4 Close,Day 5 Close,Day 6 Close,Day 7 Close,Day 8 Close,Day 9 Close,Day 10 Close,Day 11 Close,Day 12 Close,Day 13 Close,Day 14 Close,Day 15 Close,Day 16 Close,Day 17 Close,Day 18 Close,Day 19 Close,Day 20 Close,Day 21 Close,Day 22 Close,Day 23 Close,Day 24 Close,Day 25 Close,Day 26 Close,Day 27 Close,Day 28 Close,Day 29 Close,Day 30 Close
NSE_21_EMA_PULLBACK,AXISBANK,2026-01-01,BUY,1274.4000244140625,1250.2490602413945,1252.3,1167.862251586914,60.16956052106434,2022412.0,3548232.65,0.5699772815066115,2.269936778062692,1.931692247623442,None,0,4521867775.786774,2026-06-01,1275.9000244140625,98,0.11770244595606177,11.291589897781442,-2.071564964556602,1266.9000244140625,-0.5885122297803089,1286.800048828125,0.9730088023000254,1356.199951171875,6.418700972280825,1333.0,4.598240306286899,1266.9000244140625,1285.800048828125,1293.800048828125,1295.5,1286.800048828125,1272.0,1274.199951171875,1262.0,1298.800048828125,1294.199951171875,1307.5,1293.5,1284.9000244140625,1294.800048828125,1258.0,1315.800048828125,1319.800048828125,1363.699951171875,1370.4000244140625,1311.5,1356.199951171875,1338.699951171875,1330.5999755859375,1341.5999755859375,1341.4000244140625,1356.699951171875,1347.300048828125,1340.0,1332.300048828125,1358.300048828125
NSE_21_EMA_PULLBACK,BHARTIHEXA,2026-01-01,BUY,1810.4000244140625,1782.7787572576776,1787.2280078125,1730.4189978027343,55.287918178165924,122537.0,155185.7,0.7896152802738912,11.81255246068407,1.5493379110525591,None,0,280948195.0687134,2026-06-01,1514.199951171875,98,-16.36102901280356,1.1931051311672596,-15.863901312923371,1802.0999755859375,-0.45846490920211497,1753.5999755859375,-3.1374308474453527,1636.5999755859375,-9.600090945887803,1535.5,-15.18449075933006,1802.0999755859375,1807.699951171875,1788.5999755859375,1780.699951171875,1753.5999755859375,1761.5999755859375,1705.9000244140625,1680.0999755859375,1639.800048828125,1614.5,1594.4000244140625,1594.800048828125,1645.5999755859375,1624.5999755859375,1615.199951171875,1582.0999755859375,1535.199951171875,1559.699951171875,1544.800048828125,1585.0,1636.5999755859375,1611.300048828125,1627.4000244140625,1699.699951171875,1734.9000244140625,1684.0,1689.300048828125,1681.9000244140625,1668.699951171875,1679.699951171875
NSE_21_EMA_PULLBACK,CHOLAFIN,2026-01-01,BUY,1724.0,1696.570387049833,1704.0640014648438,1586.3265014648437,55.199826834996,390859.0,1930550.9,0.2024598263635525,3.254769921436588,1.6167683439214302,None,0,3328269751.6,2026-06-01,1492.9000244140625,98,-13.404870973662266,6.2354988399071924,-11.42691415313225,1781.0999755859375,3.3120635490683004,1754.0,1.740139211136891,1694.4000244140625,-1.7169359388594838,1554.300048828125,-9.843384638739849,1781.0999755859375,1772.4000244140625,1805.4000244140625,1786.5,1754.0,1717.0999755859375,1710.800048828125,1701.0999755859375,1689.5,1699.199951171875,1700.4000244140625,1649.9000244140625,1627.800048828125,1664.0,1643.199951171875,1639.699951171875,1636.800048828125,1648.9000244140625,1631.5999755859375,1594.300048828125,1694.4000244140625,1739.5,1722.300048828125,1742.199951171875,1770.199951171875,1726.199951171875,1723.0,1731.800048828125,1709.4000244140625,1714.800048828125
NSE_21_EMA_PULLBACK,EICHERMOT,2026-01-01,BUY,7348.0,7211.6943306835965,7068.31,6138.0172509765625,60.61800148014561,155326.0,444478.8,0.34945648701355386,0.3593463963658553,1.8900644296093327,None,0,3266030222.4,2026-06-01,7100.5,98,-3.3682634730538923,10.492651061513337,-8.301578660860098,7334.5,-0.18372346216657592,7551.0,2.762656505171475,7215.0,-1.810016330974415,7131.0,-2.9531845400108874,7334.5,7482.5,7522.5,7582.5,7551.0,7507.0,7436.0,7404.0,7358.0,7315.0,7323.5,7173.5,7140.0,7049.0,6973.0,7164.5,7071.0,7056.5,7122.5,6985.5,7215.0,7277.5,7209.5,7177.5,7195.5,7296.0,7771.0,7943.0,8065.0,8010.5
NSE_21_EMA_PULLBACK,GRASIM,2026-01-01,BUY,2851.699951171875,2808.7023324791626,2798.3759912109376,2742.932489013672,62.588718192414056,449775.0,503710.4,0.8929237911307767,4.2346731005621105,1.5308713278547974,None,0,1436430923.0847657,2026-06-01,3102.60009765625,98,8.798265973994575,4.464005716162825,-5.109231464271029,2856.39990234375,0.16481226118980738,2792.0,-2.093486418420071,2808.89990234375,-1.5008608745999656,2756.199951171875,-3.3488796730089123,2856.39990234375,2848.89990234375,2865.300048828125,2837.10009765625,2792.0,2776.89990234375,2806.699951171875,2774.199951171875,2795.800048828125,2809.60009765625,2780.0,2713.60009765625,2735.60009765625,2787.60009765625,2759.0,2856.199951171875,2839.10009765625,2831.699951171875,2819.0,2774.60009765625,2808.89990234375,2844.89990234375,2863.89990234375,2836.89990234375,2926.300048828125,2953.89990234375,2932.60009765625,2925.5,2888.0,2912.699951171875
NSE_21_EMA_PULLBACK,ANANDRATHI,2026-01-02,BUY,3079.39990234375,3020.400198441967,3008.0139794921874,2495.073994140625,61.385738695467786,149134.0,419985.85,0.3550929156303719,7.286084395595736,1.9533737261776523,None,0,1293304385.4757566,2026-06-01,3502.39990234375,97,13.736442599678336,4.094956863519885,-12.07053201790946,3123.60009765625,1.4353509357085763,3145.39990234375,2.143274731864705,2955.800048828125,-4.013764286397242,3553.699951171875,15.402353181447214,3123.60009765625,3149.199951171875,3166.10009765625,3142.300048828125,3145.39990234375,3131.699951171875,3152.199951171875,3084.199951171875,3092.199951171875,3097.800048828125,3066.89990234375,3053.5,3008.300048828125,2959.39990234375,2900.699951171875,2879.5,2928.39990234375,2885.39990234375,2871.10009765625,2951.699951171875,2955.800048828125,2943.60009765625,2951.39990234375,2973.199951171875,2963.39990234375,3017.10009765625,2986.699951171875,2989.10009765625,2999.89990234375,3002.0
NSE_21_EMA_PULLBACK,AUROPHARMA,2026-01-02,BUY,1215.4000244140625,1199.3884114198393,1185.03599609375,1143.213498840332,56.44762790611675,516055.0,686412.15,0.7518150720379877,10.381944538203905,1.3349814657012278,None,0,834265343.8681091,2026-06-01,1433.699951171875,97,17.961158661573474,4.558172066910279,-9.001153712071352,1207.4000244140625,-0.6582195029868257,1198.699951171875,-1.3740392386645304,1212.699951171875,-0.2221551084375854,1340.4000244140625,10.284679734169151,1207.4000244140625,1231.300048828125,1235.4000244140625,1206.0999755859375,1198.699951171875,1172.9000244140625,1167.699951171875,1180.0999755859375,1172.699951171875,1167.5999755859375,1141.699951171875,1121.699951171875,1145.300048828125,1132.5,1129.699951171875,1139.9000244140625,1150.5999755859375,1207.699951171875,1171.0,1226.0999755859375,1212.699951171875,1181.5999755859375,1191.0,1203.699951171875,1124.0999755859375,1146.5999755859375,1157.9000244140625,1145.5999755859375,1184.5999755859375,1186.699951171875
NSE_21_EMA_PULLBACK,DYNAMATECH,2026-01-02,BUY,9503.0,9334.766788980627,9005.58,7360.067255859375,55.22092775690197,18824.0,40593.5,0.46371956101346273,5.3438916280691275,1.8022218960838579,None,0,385760030.5,2026-06-01,10454.0,97,10.007366094917394,7.90802904345996,-19.257076712617067,9342.5,-1.688940334631169,8786.0,-7.5449857939598015,8848.0,-6.892560244133432,10017.0,5.408818267915396,9342.5,9254.0,9062.0,8876.5,8786.0,9119.0,9062.5,9105.5,8953.5,8703.0,8353.0,8010.0,8262.0,7899.5,7931.5,8168.5,8138.5,8798.0,8287.0,8721.5,8848.0,8611.5,8550.0,9374.0,9517.0,9479.0,9703.0,9446.5,9468.0,10117.0
NSE_21_EMA_PULLBACK,FIEMIND,2026-01-02,BUY,2334.300048828125,2288.972770657292,2231.8439868164064,1906.7799987792969,55.53266208035078,69083.0,69293.2,0.9969665133086653,4.527605364902863,1.980245407542217,None,0,161751120.14345703,2026-06-01,2235.5,97,-4.232534239877389,9.467506120772578,-12.65047520246477,2349.10009765625,0.6340251260995767,2230.89990234375,-4.429599636785527,2328.300048828125,-0.25703636526984375,2158.199951171875,-7.544021504204504,2349.10009765625,2317.60009765625,2375.39990234375,2326.89990234375,2230.89990234375,2221.699951171875,2255.699951171875,2251.800048828125,2180.60009765625,2173.5,2116.89990234375,2181.39990234375,2204.5,2145.60009765625,2112.89990234375,2176.89990234375,2072.60009765625,2170.300048828125,2141.699951171875,2197.39990234375,2328.300048828125,2280.89990234375,2296.699951171875,2337.39990234375,2481.89990234375,2545.699951171875,2399.199951171875,2298.800048828125,2232.5,2243.89990234375
NSE_21_EMA_PULLBACK,HDFCBANK,2026-01-02,BUY,1001.5999755859375,993.682032829878,995.1009973144531,973.1374984741211,56.65455114614089,11751459.0,15052875.95,0.7806786582865582,1.8520357093642823,0.7968286126206975,None,0,15076960184.018145,2026-06-01,742.7000122070312,97,-25.848639146326796,0.47923811353099965,-10.043927519775183,977.5,-2.4061477808881713,939.0,-6.249997714837844,953.0999755859375,-4.842252514196342,797.7000122070312,-20.357424954970117,977.5,962.2000122070312,949.0499877929688,946.7000122070312,939.0,936.9500122070312,937.3499755859375,925.4500122070312,931.0999755859375,927.9000244140625,931.2000122070312,920.3499755859375,918.7000122070312,916.0999755859375,926.4000244140625,932.7000122070312,935.5,929.25,928.0999755859375,948.7000122070312,953.0999755859375,949.7000122070312,941.0999755859375,937.25,932.4000244140625,927.0999755859375,920.5999755859375,903.9000244140625,925.7999877929688,925.7000122070312
